tweet_id,tweet_text,organization
719331238868180992,1 strong punishment can prevent a lot of crimes in future. Let this be the one for minor driving. Justice For Sidd.,DelhiPolice
719332879075946496,My PERSONAL view- Father should go to jail too. We should learn to handle our kids and cars. Justice For Sidd.,DelhiPolice
719338371823321088,Dear arrest this useless lady she spreading hatred. I dn't know what is link between bmj and this incidence?,DelhiPolice
719338460767608833,The minor was challand thrice last year. But WHY challaned? Why wasnt stricter action taken against minor driving? Could have save a life!,dtptraffic
719346355366273025,Reckless driving by underage kids at Roop Nagar round about esp. Early morning. Danger to self and school going kids.,dtptraffic
719352429116928000,Request to run a unreserved express train from UMB from DLI at 6 AM at UMB at DLI 10 AM at at at at 11078 At.,RailMinIndia
719352834722934784,At. At. At.. At.. At.. At.. At.. At.. tigri. M. B. Road.,dtptraffic
719354872219369473,Pity condition of toilet of B_11 12424. Complaint to 09717630982 but of no use. Please intervene.,RailMinIndia
719357502840811520,Retweeted PRO CR ( Expect more rail services as CR completes DC to AC conversion - HT.,RailMinIndia
719359660461953024,Sir please send technical team to check red light at golok dham Chowk Rd at dwarka second 6-10 not working from yesterday.,dtptraffic
719360946188103680,1st class again occupied by railway staff Hope sum action taken sum day lpi-falaknuma 8. 35mm.,RailMinIndia
719363718803365889,Just look at the traffic at bhairon marg. As I can see it can be solved with little effort. Please study.,dtptraffic
719373355837554690,We needed strong action against. Socialmedia demand Strong Action,DelhiPolice
719373380575567873,Sir is it mandatory to paste CNG sticker on CNG car,dtptraffic
719376007535300608,Sir there are local train issues on western line mumbai! No trains at all! Kindly look into urgent urgent urgent.,RailMinIndia
719378016778870784,Urgent. Urgent. Urgent. Urgent. Urgent. Urgent. 2 Urgent. Urgent. Urgent. Urgent. Urgent..,dtptraffic
719378986971738112,DL8S BK 1558 triple riding at Ramakrishna Ashram Panchkuiya Road on 11 April 2016 at 9. 40 am.,dtptraffic
719382139238637568,Ratko akshardham ok parent at side is Car me lge balloon khulne se piche a the biker ok accident hold on gaya.,dtptraffic
719384922146807808,"5pm and it's regular to see vehicles bikes wrong landing at modi Mills flyover ""t fm"" okhla.",dtptraffic
719387581503262720,Massive jam on dwarka to NH 8 road. Under Delhi cantt jurisdiction.,dtptraffic
719387651220987904,Traffic going from wrong side now.,dtptraffic
719387806666063874,There is no footpath available in front of Go back pant hospital for pedestrians. Car parked on pavement.,dtptraffic
719388357818589185,What is the reason for Jam.,dtptraffic
719388707212566528,Since when it's there.,dtptraffic
719389356981506048,Just got to know- father of juvenile killer out on bail. Hope that keeps building a solid case against the delinquent driver.,DelhiPolice
719389724129931264,Trees at platform in hebbal help beat heat in bangalore. No shelter or fan reward.,RailMinIndia
719389931303346176,Please see the pictures of jam.,dtptraffic
719391401838977024,Water Supply From Today To Latur By really no word to express happiness just sayà¤µà¤¾à¤¹ à¤à¥.,RailMinIndia
719392885355847680,True! Wondering why was so careless despite 3 offences.,dtptraffic
719392950816346112,Thanks for quick response hope for quick action too. Delhi traffic. Delhi police. Parking problem.,dtptraffic
719393184829153280,Announces the arrest of 6 autolifters recovered 36 vehicles and worked out around 50 cases.,DelhiPolice
719396244058038272,Good morning delhi. Delhi,DelhiPolice
719400236540497921,Shan e punjab express is the first train of india with cctv camera BIG THANKS SIR?,RailMinIndia
719406873665863680,Inmate flees from custody of in Bawana area.,DelhiPolice
719407133318455296,3 cops accused of extortion. Come two days after 3 were arrested on similar charges. Wakeup call.,DelhiPolice
719408200072560640,Implement SC order but simultaneously regulate traffic also as we face traffic jam on regular basis in different parts of Del.,dtptraffic
719410419492737024,Sir wanted to know if someone has consumed alcohol and value comes as 130 only would the license be canceled for 3 months.,dtptraffic
719414040875806720,The criminal who fled custody was accused of murder/robbery and several heinous cases. Manhunt launched.,DelhiPolice
719415293521563648,An undertrial prisoner escapes from custody in outer Delhi's Bawana was being taken to sonipat court.,DelhiPolice
719415764160266240,Court undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial Undertrial murder case.,DelhiPolice
719418304683773952,Dipak a prisoner accused of murder escapes from van in bhavana. He was lodged in Tihar Jail.,DelhiPolice
719424989665972225,Very happy to see a fair action but still don't digest the delay.,dtptraffic
719429204798910465,Sir please prove water in our coach we don't even able to use bathrooms train name garbha express way to howrah.,RailMinIndia
719430548016398336,Sir Are heavy vehicles like roadways buses etc. Allowed to play on Barapullah Elevated Road?,dtptraffic
