id,urgency,grievance,department
83222,HIGHLY URGENT,"Subject: Enhancing Nepal’s Tourism Policies and Airport Facilities

I hope this message finds you in good health and high spirits. I am writing to bring to your esteemed attention two significant proposals that have the potential to enhance Nepal’s tourism experience, strengthen the bond between Non-Resident Nepalis (NRNs) and their homeland, and improve the comfort of families traveling through Nepal’s airports.
1. Free Visa Provisions for Non-Resident Nepali (NRN) Citizens  As an NRN, I deeply value the cultural and economic connections we maintain with Nepal. NRNs across the globe play an instrumental role in promoting Nepal internationally, fostering investment, and contributing to its economic growth. Introducing a free visa policy for NRN citizens would not only encourage more frequent visits but also reinforce our commitment to supporting Nepal’s prosperity. This initiative would serve as a heartfelt acknowledgment of NRNs' contributions and strengthen their emotional and financial ties with their homeland. By making travel more accessible, Nepal can further engage its global diaspora and encourage them to actively participate in various developmental and cultural initiatives.
2. Establishment of Baby Changing Rooms at Tribhuvan International Airport and Other Airports  Nepal’s reputation as a welcoming destination can be further enhanced by improving airport facilities for families traveling with infants and young children. Currently, there is a noticeable lack of designated baby changing rooms at Tribhuvan International Airport (TIA) and other airports, which poses significant challenges for parents and caregivers. Ensuring well-equipped, hygienic, and private baby changing rooms would greatly enhance the convenience and comfort of families, making Nepal’s airports more accommodating for international and domestic travelers alike. Investing in such infrastructure would reflect Nepal’s dedication to providing a seamless and family-friendly travel experience.
I strongly believe that implementing these initiatives would not only benefit NRNs but also elevate Nepal’s standing as a progressive and visitor-friendly nation. Your leadership and support in addressing these concerns would be greatly appreciated by Nepalese expatriates, tourists, and families traveling through our airports.
Thank you for your time and thoughtful consideration. I look forward to your response and remain hopeful that these proposals will be positively received.",Municipal Governance & Community Services
74259,URGENT,स्वास्थ्य बिमा लागू नहुदा उपचारमा कठिनाई परेको,"Education, Health & Social Welfare"
73063,URGENT,युवा तथा साना व्यावसायी स्वरोजगार कोषमा रिक्त उपाध्यक्ष नियुक्त नहुनुको कारण के होला ? जस कारणले गर्दा धेरै कुराको समस्या देखियो ।,Municipal Governance & Community Services
71078,HIGHLY URGENT,"उपरोक्त सम्बन्धमा हामी निवेदकहरु यस प्राधिकरण अन्तर्गत मस्याङ्दी र कुलेखानी जलविद्युत परियोजनाबाट काठमाडौं ल्याईएको १३२ KV प्रसारण लाइन अन्तर्गत काठमाडौं नागढुंगा देखि स्युचाटार र मच्छेगाऊँ सतुंगल स्युचाटार सव स्टेसन सम्मको हाइटेन्सन लाइन प्रभावित घर जग्गा पीडित जनता हौं ।
तत्कालिन अवस्थामा उल्लेखित हाइटेन्सन लाइन टाँग्नको लागि हामी प्रभावितहरुले कोही कसैलाई कुनै सहमति दिएको एवं प्रभावित क्षेत्रमा परेको जमिनको मुआब्जा हामीले लिएका छैनौं भनी जानकारी गराउँदछौं । कोही कसैले तत्कालिन अवस्थामा नक्कली कागजात बनाएको भए हाम्रो हकमा आकर्षित हुन सक्दैन ।
उक्त हाइटेन्सन तान्ने समयमा पञ्चायतको रजगज रहेको थियो । हामी स्थानीयले हाम्रो जमिनमा हाइटेन्सन लाइनको पोल गाड्न तथा जमिन माथिबाट तार लान दिदैनौं भनी विरोध गरेतापनि पञ्चायत प्रशासनले सरकारी काममा अवरोध पुऱ्याउनेलाई थुनिदिन्छौं भनी धाकधम्की दिईं राति राति पोल गाड्ने र तार टाँग्ने काम भएको हो । हालसम्म प्रभावित जमिनको हाम्रो नामबाट लगत कट्टा भएको छैन जमिन हाम्रै नाममा छ ।
विद्युत प्राधिकरणलाई जानकारी भएकै विषय हो हाइटेन्सन लाइनले लाइनको तल कति असर पार्छ कति प्रभावित बनाउँछ भन्ने । निवेदकहरुको हक स्वामित्वको जमिनमा हाइटेन्सनले गर्दा हाइटेन्सनको ९ मिटर चौडाइको सम्म जमिन प्रयोग गर्न नपाएको, आफ्नै नामको जमिन आफ्नो नीजि प्रयोगमा नआएको, बैंक वित्तिय संस्थाले धितो स्वीकार नगर्ने, नक्सापास नगर्ने, घर बनाउन नपाउने, विद्युत मिटर समेत जडान गर्न नपाउने लगायतको कारण हाम्रो जमिन राज्यबाट लुटिएको महसुस हामीहरुले गरेका छौं ।
विद्युतसँग सम्बन्धित नेपाल कानून तथा हाइटेन्सन लाइनबाट परेको क्षतिको सम्बन्धमा सम्मानित सर्वोच्च अदालतबाट प्रतिपादित सिद्धान्तहरु समेतले अनाधिकृत हाइटेन्सन लाइन पोल समेतले पीडित बनाएकाहरुको न्यायको पक्षमा रहेको स्मरण गराउँदछौं ।
नेपालको संविधान, कानूनले यो प्रकार र प्रकृतिबाट व्यक्तिको सम्पत्तिमाथि राज्यले अधिकार जमाउन पाउने र जग्गाधनी पीडित बनाउने कल्पना कही गरेको छैन तैपनि हामीहरु अन्यायमा पर्न बाध्य भएकाले प्राधिकरणबाट उल्लेखित हाइटेन्सन लाइन अन्य वैकल्पिक उपायबाट प्रयोग गरी झण्डै आधा सताब्दी (५० बर्ष) अघिदेखीका हामीहरुको निःशुल्क कब्जा गरेको जमिन हामीलाई फिर्ता गरी दिने पहल तत्काल चाली न्याय इन्साफ दिलाई पाउँ भनी सम्पूर्ण पीडितहरुको हस्ताक्षर सहित यो ज्ञापनपत्र पेश गरेका छौं ।
निवेदक
पीडित संघर्ष समितिका तर्फबाट
-
बल संयोजक बसन्त कुमार खत्री - १","Infrastructure, Utilities & Natural Resources"
67993,HIGHLY URGENT,"वन कार्यालयका हाकिम र सहायक हाकिम हरुले गैर नैतिक चरित्र प्रस्तुत गर्दै कार्यालय समयमै रक्सी खाएर बस्ने गरेको, साँझ साँझ सधै जसाो दुवै जनाले रक्सी खाएर हल्लिदै आउने गरेकाो, हाकिमले रक्सी खाई कार्यालयकाो माोटरसाईकल चलाई हिड्ने र अन्य अनैतिक कार्यहरुमा संलग्न हुने गरेकाो  पटक पटक प्रहरी मापसेमा परेकाो, उपभाोक्ता सेवाग्राहीसँग काम गरेकाो याोजना सम्मपन्न भएकाोमा रकम माग्ने गरेकाो, रकम नपाएमा रक्सी खाएर बस्ने गरेकाो, काठमा टाचा हान्न जाने र त्यही रक्सी खाएर जात्रा देखाउने काठ व्यवसायी दुख दिने गरेकाो बेजती हरु हाकिम र साहेक हाकिमकाो व्यवहारले पर्वत जिल्ला आजित भएकाो जिल्लाकाो वन कार्यालयलाई बद्नाम गराएकाो","Infrastructure, Utilities & Natural Resources"
66869,URGENT,"The bus owner hasn't given me the student discount and also charged more bus fare.
I'm student form bhairahawa multiple campus",Security & Law Enforcement
65945,URGENT,"बुटवल कालिकानगर स्थित आर एस अटोमोबाइल तथा सुजुकि बाइक सर्भिसमा प्रवन्ध निर्देशकको रुपमा कार्यरत श्री रेशम खड्का (मो. 9857033673) ले निम्न बमोजिमको कारोबार रकम नदिएको र सो सम्बन्धमा निजलाइ उपस्थित गराइ छलफल गराइ पाउ भनि इलाका प्रहरी कार्यालय बुटवलमा मिति २०८० फागुन १० गते निवेदन दर्ता समेत गरेको भए पनि हालसम्म निज उपस्थित नभएको 
कारोबारको संक्षिप्त विवरण 
२०७९ भदौ २९ गते निजकै नाममा रहेको रातो रंगको लु ४० प ८४८५ नम्बरको २०१९ मोडलको यमाहा फेसिनो स्कुटर निजबाट खरिद गरि मैले चलाएको नामसारी गर्दा अग्रिम कर तिर्नुपर्ने अनि बिल बुकको म्याद चैत सम्म रहेकोले टाढाको मान्छे परिएन अरुको नामको नि हैन पछि नामसारी गरौला भनेर त्यो बेला नामसारी नगरिदिएको, फागुनमा अब म्याद सकिन लाग्यो नामसारी गरम अनि इन्स्योरेन्स गरेको डकुमेन्ट नि दिनुभएको छैन त्यो नि ल्याउनु भन्दा त्यो स्कुटरको फाइल कता परेछ नआत्तेउ ३ महिना पछि सम्म फाइन लाग्दैन मिलाएर गरौला केही परे म छु भनेको, त्यसपछि फागुनको अन्तिम तिर मैले म अर्घाखाँची जानुपर्ने भो पहाडमा यो स्कुटरको काम छैन एक्सचेञ्ज गरौ दाइ एउटा बाइक खोज्दिनु भने पनि बाइकको मेसो नमिलेपछि त्यसपछि स्कुटर बेच्दिनु भन्दा त्यहा तिमिसंग भएपछि कसैले खोजे पनि देखाउन समय लाग्छ यहि अफिसमा छोड्देउ यहाँ भएसी आउनेले हेरिहाल्छन बेचेर पैसा दिन्छु भन्नुभएको त्यसपछि चैत ८ गते बुधबार स्कुटर कालिकानगर अफिसमा छोडेको, २०८० बैशाख ११ गते बल्ल स्कुटर बिक्यो पैसा भोलि हाल्दिन्छु भन्नुभएको, त्यसपछि कहिले सोमबार कहिले शुक्रबार कहिले भोलि भन्ने QR पठाउ भन्ने कहिले फोन नउठाउने Can I call you later? sms पठाउने कल ब्याक नगर्ने गर्नुभयो, फागुन १० गते इलाका प्रहरी कार्यालय बुटवलमा मैले निवेदन दिएपछि इलाकाबाट फोन गर्दा काठमाडौ छु २२ गते आउछु भन्नू भो, २२ गते पछि गर्दा भोलि आउछु भोलि बोलाउनुस उसलाइ नि भन्नुभो, चैत ५ गते गर्दा काठमाडौ छु २ दिनमा आउछु भन्नू भो, अफिस जादा स्टाफले चाइ यतै हुनुहुन्थ्यो भर्खरसम्म खै कतै निस्कनु भा होला भन्नुभो 
यस बिचमा मैले फोन गर्दा इलाका तिर निवेदन दिएका छौ रे जे सक्छौ गर कहिले कहाँ बेचेको किनेको रैछ हेरौला भन्नुभो, अनि फागुन २३ गते आफै फोन गरेर QR पठाउ भन्नू भो तर पैसा आएन, अहिले पैसा दिन सक्दिन बाइक आएसि मेरो कारोबार भएसि लौजाउला भन्नुहुन्छ यत्तिकै झुलाउने भुलाउने गर्नुभएको छ।",Security & Law Enforcement
52791,HIGHLY URGENT,"सरकारले असल चालचलन भनेर रास्ट्रपतिबाट आम माफी दिने कैदिहरुको नाम र के कस्तो कारण भनेर एक महिना अगाडि नै सार्वजनिक गर्नु पर्दछ, कसैले त्यो कुरामा बिरोध गरे त्यो माफी हटाउनु पर्दछ। येस्को लागि परे कानुन संशोधन गर्नु पर्छ",Security & Law Enforcement
52586,HIGHLY URGENT,madhesh pardesh ko sabai gadi bala harule identity card dekhaye pani discount didaina sodhda kheri yata yasto niyam xaina vanxa id card ma discount kathmandu ma matrai pauxa vanxata .keho khasma bujhdinu paryo ra samasya ko samadhan nii garnu pryo.,"Infrastructure, Utilities & Natural Resources"
52465,HIGHLY URGENT,सवारी साधनको अनलाईनबाट कर देशभरी लागू गर्ने भन्दैमा नयाँ प्रणाली नबन्दै पूरानो हटाएर दु:ख दिनुपर्ने हो करदातालाई? अब कति महिना/बर्ष/दशक लाग्छ नयाँ प्रणालीबाट अनलाईन कर तिर्न ? जानकारी पाउँ ।,"Infrastructure, Utilities & Natural Resources"
