id,urgency,grievance,department
83223,HIGHLY URGENT,ओम शिव शक्ति बचत तथा ऋण सहकारी संस्थाले युवा स्वरोजगार कार्यक्रमबाट सहकारी मार्फत कार्यक्रम सञ्चालन गर्ने भनि करिब ३०-४० व्यक्तिको फायल तयार गरी करिव २ करोड रूपैया निकासी गरेतापनि सम्बन्धित व्यक्तिलाई रूपैया नदिएर यस सहकारी संस्थाको अध्यक्षले उक्त रकम आफूले जग्गा पलटिङको कार्यमा प्रयोग गरेका छन्। कार्यक्रमको अनुगमनको लागि नेपाल सरकारका कर्मचारी आएपनि उहाँहरू बिरगञ्जको कुनै होटलमा बसि फर्किनु भएको छ । यस बारे छानविन गरी कारवाही गरिपाउँ ।,"Infrastructure, Utilities & Natural Resources"
83224,URGENT,"यी हाम्रा मुल सिमा खम्बा जंगे पिलरहरुले नेपाल सरकार लाई खुल्ला चुनौती दिइरहेको छ कि -“हेर मेरो अवस्था ! म देशको सिमा रक्षक भएर शताव्दियौंदेखि उभिरहेको थिए बुढो भएं । अहिले कहिं मलाइ ढालीएको छ । कहीं संभार नभइ ढलेको छुं । कहीं जीर्ण बुढोभई ढलेको छु । शत्रु गिड्डे आँखा लिएर बसेको छ । मौका मिल्नासाथ सिमा मिच्ने सिमा भित्र पस्ने र आई स्थाइ बस्ने अनि आफ्नै थलो क़ायम गर्ने र निली हाल्ने । त्यसैले हेर नेपाल सरकार -मलाइ यसरी वेवारिसे जस्तो नछोड । यसरी अनाथ जस्तो नपार ।यस्तो विभत्स यो हालतमा मेरा यी शरारहरु टुकड़ा टुकड़ा नछोड । समयमै तुरन्त बनाउ मर्मत जोर्णोद्वार गरीदेउ वा निर्माण गरीदेउ, अन्यथा म हाम्रा भावि सन्तति को लागि सिमा रक्षा गर्न सक्ने छैनौ । मेरा सारा यी अंग प्रत्यंग अरुको भइसक्ने छन अरुले चिठोरेर खानेछन। मलाइ सत्रुले हरणगरेर लगि सक्ने छन् । सावधान नेपाल सरकार ! मेरो यो रोदन को बेलैमा संबोधन होस ! कहिं भावी पुस्ताले तिमीलाइ नसरापोस, नधिक्कारोस, नथुकोस !

जंगे सीमा

1. कपिलवस्तु ठिकुरापुरस्थित चिरई खोलको बाढीले बगाएको ५७८ / ७ को मूल सीमा खम्बा ।
2. भारतीय महलिसागर ब्यारेजले डुबानमा पारेको ९१० नम्बरको जङ्गे खम्बा ।
3. ढल्केको जंगे खम्बा नं. ३३७ सर्लाही बलरा गाउ‘पालिका–४ नयॉटोला पूmलवरिया गाउको हो ।

सिमा रहे देश रहन्छ । देश रहे राष्ट्र रहन्छ । राष्ट्र रहे नेपाल रहन्छ ! नेपाल रहे मात्र नेपाली रहन्छ !
जय नेपाल!
जय जननी !!!",Security & Law Enforcement
83225,URGENT,"भक्तपुर मनोहरा फाट बाट नरेफाट तिर जाने ,बिपि नेत्र प्रतिस्ठान नजिक रहेको मनोहरा खोलाको पुलमा बिहान ९:३० देखि १०:०० बजेको समयमा पुल सानो भयकै कारण मोटर गाडिमा अफिस जाने कर्मचारी तथा पैदल हिड्ने सर्बसाधारण लाइ समेत असर परेको परेको छ ! त्यहा अफिसको समयमा कुनै पनि सरकारी निकायका ट्राफिक पट्टक्कै देखिदैन ! जहाँ चाहिने हो त्यहा नै नभय पछि के काम भो र! हेल्लो सरकार समक्ष यो कुरा पेस गर्द्छु , सामान्य किनमेल गर्न जाने देखि स्कुल जाने बालबालिका समेत पुलको जामकै कारण घण्टौ सम्म जाममा फसेर कति त स्कुल नै नपुगी घर फर्केको पनि छन ! समयमा अफिस पुग्न नपायकै कारण कतिका जागिर चट भयका छन ! त्यसैले यहाँ लाई बिशेश तबरले १ जना ट्राफिक खटाइ दिनु भो भने समस्याको समाधान पक्कै हुने छ!

नवीन क्षेत्री 
मनोहरा फाट बिपि नेत्र प्रतिस्ठान अगाडि 
माइक्रो भिजन चस्मा पसल",Security & Law Enforcement
83226,URGENT,"काठमाडौं उपत्यकामा ब्रोइलर कुखुराको तयारी मासुको प्रतिकिलो मूल्य ४३० रुपैयाँ र खसीको मासु १३ सय रुपैयाँसम्म पुगेको छ । त्यस्तै तरकारी र अन्य सामानको भाउ पनि त्यतिकै मूल्यमा बढिरहेको छ । सरकारी पक्षबाट खासै अनुगमन भएको पाइँदैन । 
 बजार अनुगमन तिव्र बनाउनु पर्यो भन्ने बिषयमा गुनासो प्राप्त भएको।",Security & Law Enforcement
83227,URGENT,"Dear Sir
I have a querry regarding the Qualifications to admit in PHD courses in TU Nepal. Recent notice to admission call of dated July 2, 2019 from TU FACULTY OF MANAGEMENT shows the candidates having M.Phill degree can only apply for PHD. But international practice shows Masters degree holders can apply directly for PHD. Here some questions arises:
First- Are TU masters degree programs not of international standard? So we are running mandatory MPHIL course for phd.

Second- If they are meeting international standard, then why we are wasting 2 years for MPhill?

I am masters degree holder and interested to join PHD from TU, Faculty of management. Additionally, i dont want to waste 2 years time for mphil. 
How / when can I apply?

If current policies do not allow direct admission to phd after Masters degree, TU should update its old policies to allow master degree personalities to admit in PHD as in foreign universities.

Regards
Govind
9858422077","Education, Health & Social Welfare"
83228,URGENT,"This is Manu Mohan Raut from Edmonton, Alberta, Canada. I have a concern regarding my parcel to my relatives in Nepal. I have send this parcel on 14 December 2018 from Red Deer, Alberta, Canada to My relative on the Name of Renuka Subedi, Bhairahawa, Nepal; cell number +9779841705265. But still she did not received it and one of my friend notify me that parcel is still in custom. How I can clear that parcel, what are process I should have to follow. If you provide me details regarding it, I would be very thankfull. 
Contains on Parcel Box: 
1) Samsung Galaxy S9 Cell phone set = 1 (3 months used in Canada and have some Email) 
2) Citizen Lady's Watch = 1 (Brand New) 
3) Lady's wallet = 1 (New) 

The cell pnone set is so important for us because it has some family information. 
Tracking Details: I have attached on this email too. 
Tracking id: CC226398497CA 
Please find the attached file too. 
Thank you so mcuh for kind co-operation to me.",Security & Law Enforcement
83229,NORMAL,लुङ्ग्रि गाउपालिकांमा रु ३६ लाखमा निर्माण भएको पुल सम्बन्धि गुनासो यस कार्यालयाम प्राप्त भएको छ सम्लगन फाइल फोटो हेरी के कसो भएको हो ? जानकारी  गराउन हुन अनुरोध छ।,"Infrastructure, Utilities & Natural Resources"
83230,URGENT,"समयमा लाईसेन्स नपाएको र पैसा,समयमात्र खेर गइरहेको गुनासो प्राप्त","Infrastructure, Utilities & Natural Resources"
83231,URGENT,"अस्पतालमा डाक्टरको अभावको कारण प्रसुति सेवा प्रदान नगरिएको ,र जिल्ला अस्पतालमा प्रसुति सेवा लिन आउने सेवाग्राहिलाई निजी अस्पताल रेफर गरिएको भन्ने बिषयमा प्राप्त गुनासो।","Education, Health & Social Welfare"
83232,URGENT,"नमस्कार! पुरानो ठिमी बाट बागबजार रुटमा चल्ने सार्वजनिक यातायातको मनोमनी रोकिएको छैन। बढी भाडा असुल्ने क्रम जारी छ। भन्यो भने ठुलो ठुलो आवाजमा हकार्छन, आँखा तरेर हेर्छन। यसरी दुर्ब्यबार गरिरहन्छन। पुरानो ठिमी बाट सिङदर्बार सम्मको अधिक्तम भाडा कार्ड छुट हुँदा रु १२ हो। जबर्जस्ती रु १५ लिनछन। आज मैन्ले भाई १२ मात्र होत भनेको त म माथि दुर्ब्यबार भयो। मैले गाडी को नम्बर सहित् फोटो लिएको छु। मलाई हेल्लो सरकार प्रती ठुलो आसा छ कि मेरो समस्याको को सुनुवाई हुन्छ। धन्यवाद",Security & Law Enforcement
