tweet_id,organization,cleaned_tweet
719331238868180992,nepalpolice,1 strong punishment can prevent a lot of crimes in future. let this be the one for minor driving. justice for sidd.
719332879075946496,nepalpolice,my personal view- father should go to jail too. we should learn to handle our kids and cars. justice for sidd.
719338371823321088,nepalpolice,dear arrest this useless lady she spreading hatred. i dn't know what is link between bmj and this incidence?
719338460767608833,trafficpolicenepal,the minor was challand thrice last year. but why challaned? why wasnt stricter action taken against minor driving? could have save a life!
719346355366273025,trafficpolicenepal,reckless driving by underage kids at roop nagar round about esp. early morning. danger to self and school going kids.
719359660461953024,trafficpolicenepal,sir please send technical team to check red light at golok dham chowk rd at dwarka second 6-10 not working from yesterday.
719363718803365889,trafficpolicenepal,just look at the traffic at bhairon marg. as i can see it can be solved with little effort. please study.
719373355837554690,nepalpolice,we needed strong action against. socialmedia demand strong action
719373380575567873,trafficpolicenepal,sir is it mandatory to paste cng sticker on cng car
719378016778870784,trafficpolicenepal,urgent. urgent. urgent. urgent. urgent. urgent. 2 urgent. urgent. urgent. urgent. urgent..
719382139238637568,trafficpolicenepal,ratko akshardham ok parent at side is car me lge balloon khulne se piche a the biker ok accident hold on gaya.
719384922146807808,trafficpolicenepal,"5pm and it's regular to see vehicles bikes wrong landing at modi mills flyover ""t fm"" okhla."
719387651220987904,trafficpolicenepal,traffic going from wrong side now.
719388357818589185,trafficpolicenepal,what is the reason for jam.
719388707212566528,trafficpolicenepal,since when it's there.
719389356981506048,nepalpolice,just got to know- father of juvenile killer out on bail. hope that keeps building a solid case against the delinquent driver.
719389931303346176,trafficpolicenepal,please see the pictures of jam.
719392885355847680,trafficpolicenepal,true! wondering why was so careless despite 3 offences.
719393184829153280,nepalpolice,announces the arrest of 6 autolifters recovered 36 vehicles and worked out around 50 cases.
719406873665863680,nepalpolice,inmate flees from custody of in bawana area.
719407133318455296,nepalpolice,3 cops accused of extortion. come two days after 3 were arrested on similar charges. wakeup call.
719408200072560640,trafficpolicenepal,implement sc order but simultaneously regulate traffic also as we face traffic jam on regular basis in different parts of del.
719410419492737024,trafficpolicenepal,sir wanted to know if someone has consumed alcohol and value comes as 130 only would the license be canceled for 3 months.
719414040875806720,nepalpolice,the criminal who fled custody was accused of murder/robbery and several heinous cases. manhunt launched.
719415764160266240,nepalpolice,court undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial undertrial murder case.
719418304683773952,nepalpolice,dipak a prisoner accused of murder escapes from van in bhavana. he was lodged in tihar jail.
719424989665972225,trafficpolicenepal,very happy to see a fair action but still don't digest the delay.
719430548016398336,trafficpolicenepal,sir are heavy vehicles like roadways buses etc. allowed to play on barapullah elevated road?
719431672559566848,nepalpolice,suspend this cop immediately.
719434604130619392,irdnepal,a laudable effort by in launching an e-appeal filing system for applicants. a win-win situation for everyone involved.
719442237516439552,nepalpolice,need 2 units blood and 1 unit unit unit group at aiims at 11 at 9713022140.
719447344106745856,trafficpolicenepal,so many rules are broken outside sanskriti school! yet act as a mere spectator or facilitator! incorrect parking turns 1/2.
719451597110050816,trafficpolicenepal,please send help. traffic jam station marks school meera bagh.
719452901609967616,nepalpolice,hc raj singh of was arrested on saturday for extortion attempt his two colleagues are evading arrest.
719453916346380288,nepalpolice,arrested hc raj singh is posted in anti-auto theft squad of southwest southwest southwest.
719460680668045312,trafficpolicenepal,hope charges are framed for implanting driver in plc f accused.
719471257821925376,nepalpolice,people can now apply for a restaurant bar pub or arms license online courtesy read:.
719500772241711105,trafficpolicenepal,10. 30 am towards gandhi nagar 11. 04. 2016 driving without helmet pillion.
